,,GENDER,0
FRUITS_VEGGIES,mean,Female,3.6624937406109166
FRUITS_VEGGIES,mean,Male,3.385054945054945
FRUITS_VEGGIES,median,Female,4.0
FRUITS_VEGGIES,median,Male,3.0
FRUITS_VEGGIES,max,Female,5.0
FRUITS_VEGGIES,max,Male,5.0
FRUITS_VEGGIES,min,Female,0.0
FRUITS_VEGGIES,min,Male,0.0
DAILY_STRESS,mean,Female,2.438908362543816
DAILY_STRESS,mean,Male,2.101098901098901
DAILY_STRESS,median,Female,2.0
DAILY_STRESS,median,Male,2.0
DAILY_STRESS,max,Female,5.0
DAILY_STRESS,max,Male,5.0
DAILY_STRESS,min,Female,0.0
DAILY_STRESS,min,Male,0.0
PLACES_VISITED,mean,Female,7.053580370555833
PLACES_VISITED,mean,Male,6.843076923076923
PLACES_VISITED,median,Female,8.0
PLACES_VISITED,median,Male,7.0
PLACES_VISITED,max,Female,10.0
PLACES_VISITED,max,Male,10.0
PLACES_VISITED,min,Female,0.0
PLACES_VISITED,min,Male,0.0
CORE_CIRCLE,mean,Female,7.086629944917376
CORE_CIRCLE,mean,Male,6.750329670329671
CORE_CIRCLE,median,Female,7.0
CORE_CIRCLE,median,Male,7.0
CORE_CIRCLE,max,Female,10.0
CORE_CIRCLE,max,Male,10.0
CORE_CIRCLE,min,Female,0.0
CORE_CIRCLE,min,Male,0.0
SUPPORTING_OTHERS,mean,Female,7.619679519278918
SUPPORTING_OTHERS,mean,Male,7.10945054945055
SUPPORTING_OTHERS,median,Female,8.0
SUPPORTING_OTHERS,median,Male,8.0
SUPPORTING_OTHERS,max,Female,10.0
SUPPORTING_OTHERS,max,Male,10.0
SUPPORTING_OTHERS,min,Female,0.0
SUPPORTING_OTHERS,min,Male,0.0
SOCIAL_NETWORK,mean,Female,7.727841762643966
SOCIAL_NETWORK,mean,Male,7.69010989010989
SOCIAL_NETWORK,median,Female,9.0
SOCIAL_NETWORK,median,Male,9.0
SOCIAL_NETWORK,max,Female,10.0
SOCIAL_NETWORK,max,Male,10.0
SOCIAL_NETWORK,min,Female,0.0
SOCIAL_NETWORK,min,Male,0.0
ACHIEVEMENT,mean,Female,5.398597896845268
ACHIEVEMENT,mean,Male,5.837802197802198
ACHIEVEMENT,median,Female,5.0
ACHIEVEMENT,median,Male,5.0
ACHIEVEMENT,max,Female,10.0
ACHIEVEMENT,max,Male,10.0
ACHIEVEMENT,min,Female,0.0
ACHIEVEMENT,min,Male,0.0
DONATION,mean,Female,3.691787681522283
DONATION,mean,Male,3.3705494505494507
DONATION,median,Female,4.0
DONATION,median,Male,4.0
DONATION,max,Female,5.0
DONATION,max,Male,5.0
DONATION,min,Female,0.0
DONATION,min,Male,0.0
BMI_RANGE,mean,Female,1.297946920380571
BMI_RANGE,mean,Male,1.2945054945054946
BMI_RANGE,median,Female,1.0
BMI_RANGE,median,Male,1.0
BMI_RANGE,max,Female,2.0
BMI_RANGE,max,Male,2.0
BMI_RANGE,min,Female,1.0
BMI_RANGE,min,Male,1.0
TODO_COMPLETED,mean,Female,7.181021532298447
TODO_COMPLETED,mean,Male,6.996043956043956
TODO_COMPLETED,median,Female,8.0
TODO_COMPLETED,median,Male,7.0
TODO_COMPLETED,max,Female,10.0
TODO_COMPLETED,max,Male,10.0
TODO_COMPLETED,min,Female,0.0
TODO_COMPLETED,min,Male,0.0
FLOW,mean,Female,4.2603905858788185
FLOW,mean,Male,4.376703296703297
FLOW,median,Female,4.0
FLOW,median,Male,4.0
FLOW,max,Female,10.0
FLOW,max,Male,10.0
FLOW,min,Female,0.0
FLOW,min,Male,0.0
DAILY_STEPS,mean,Female,6.792188282423635
DAILY_STEPS,mean,Male,7.036923076923077
DAILY_STEPS,median,Female,7.0
DAILY_STEPS,median,Male,7.0
DAILY_STEPS,max,Female,10.0
DAILY_STEPS,max,Male,10.0
DAILY_STEPS,min,Female,1.0
DAILY_STEPS,min,Male,1.0
LIVE_VISION,mean,Female,5.14371557336004
LIVE_VISION,mean,Male,5.59956043956044
LIVE_VISION,median,Female,5.0
LIVE_VISION,median,Male,5.0
LIVE_VISION,max,Female,10.0
LIVE_VISION,max,Male,10.0
LIVE_VISION,min,Female,0.0
LIVE_VISION,min,Male,0.0
SLEEP_HOURS,mean,Female,7.27891837756635
SLEEP_HOURS,mean,Male,7.197802197802198
SLEEP_HOURS,median,Female,7.0
SLEEP_HOURS,median,Male,7.0
SLEEP_HOURS,max,Female,10.0
SLEEP_HOURS,max,Male,10.0
SLEEP_HOURS,min,Female,1.0
SLEEP_HOURS,min,Male,3.0
LOST_VACATION,mean,Female,1.8540310465698548
LOST_VACATION,mean,Male,2.036043956043956
LOST_VACATION,median,Female,0.0
LOST_VACATION,median,Male,0.0
LOST_VACATION,max,Female,10.0
LOST_VACATION,max,Male,10.0
LOST_VACATION,min,Female,0.0
LOST_VACATION,min,Male,0.0
DAILY_SHOUTING,mean,Female,2.397346019028543
DAILY_SHOUTING,mean,Male,2.1037362637362635
DAILY_SHOUTING,median,Female,2.0
DAILY_SHOUTING,median,Male,1.0
DAILY_SHOUTING,max,Female,10.0
DAILY_SHOUTING,max,Male,10.0
DAILY_SHOUTING,min,Female,0.0
DAILY_SHOUTING,min,Male,0.0
SUFFICIENT_INCOME,mean,Female,1.8900851276915374
SUFFICIENT_INCOME,mean,Male,1.8989010989010988
SUFFICIENT_INCOME,median,Female,2.0
SUFFICIENT_INCOME,median,Male,2.0
SUFFICIENT_INCOME,max,Female,2.0
SUFFICIENT_INCOME,max,Male,2.0
SUFFICIENT_INCOME,min,Female,1.0
SUFFICIENT_INCOME,min,Male,1.0
PERSONAL_AWARDS,mean,Female,7.210315473209815
PERSONAL_AWARDS,mean,Male,7.495384615384616
PERSONAL_AWARDS,median,Female,8.0
PERSONAL_AWARDS,median,Male,8.0
PERSONAL_AWARDS,max,Female,10.0
PERSONAL_AWARDS,max,Male,10.0
PERSONAL_AWARDS,min,Female,0.0
PERSONAL_AWARDS,min,Male,0.0
TIME_FOR_PASSION,mean,Female,4.65222834251377
TIME_FOR_PASSION,mean,Male,4.956043956043956
TIME_FOR_PASSION,median,Female,4.0
TIME_FOR_PASSION,median,Male,5.0
TIME_FOR_PASSION,max,Female,10.0
TIME_FOR_PASSION,max,Male,10.0
TIME_FOR_PASSION,min,Female,0.0
TIME_FOR_PASSION,min,Male,0.0
WEEKLY_MEDITATION,mean,Female,7.253129694541813
WEEKLY_MEDITATION,mean,Male,7.796483516483517
WEEKLY_MEDITATION,median,Female,7.0
WEEKLY_MEDITATION,median,Male,8.0
WEEKLY_MEDITATION,max,Female,10.0
WEEKLY_MEDITATION,max,Male,10.0
WEEKLY_MEDITATION,min,Female,0.0
WEEKLY_MEDITATION,min,Male,0.0
